"ID","Preferred Foot","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Composure","Marking","StandingTackle","SlidingTackle"
158023,"Left","RF","5'7","159lbs",84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,96,33,28,26
20801,"Right","ST","6'2","183lbs",84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,95,28,31,23
190871,"Right","LW","5'9","150lbs",79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,94,27,24,33
193080,"Right","GK","6'4","168lbs",17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,68,15,21,13
192985,"Right","RCM","5'11","154lbs",93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,88,68,58,51
183277,"Right","LF","5'8","163lbs",81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,91,34,27,22
177003,"Right","RCM","5'8","146lbs",86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,84,60,76,73
176580,"Right","RS","6'0","190lbs",77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,62,45,38
155862,"Right","RCB","6'0","181lbs",66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,82,87,92,91
200389,"Right","GK","6'2","192lbs",13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,70,27,12,18
188545,"Right","ST","6'0","176lbs",62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,86,34,42,19
182521,"Right","LCM","6'0","168lbs",88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,85,72,79,69
182493,"Right","CB","6'2","172lbs",55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,82,90,89,89
168542,"Left","LCM","5'8","148lbs",84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,93,59,53,29
215914,"Right","LDM","5'6","159lbs",68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,85,90,91,85
211110,"Left","LF","5'10","165lbs",82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,84,23,20,20
202126,"Right","ST","6'2","196lbs",75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,89,56,36,38
194765,"Left","CAM","5'9","161lbs",82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,87,59,47,48
192448,"Right","GK","6'2","187lbs",15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,69,25,13,10
192119,"Left","GK","6'6","212lbs",14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,66,20,18,16
189511,"Right","CDM","6'2","168lbs",62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,90,90,86,80
179813,"Right","LS","6'1","170lbs",70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,82,52,45,39
167495,"Right","GK","6'4","203lbs",15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,70,17,10,11
153079,"Right","ST","5'8","154lbs",70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,90,30,20,12
138956,"Left","LCB","6'2","187lbs",58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,84,93,93,90
231747,"Right","RM","5'10","161lbs",77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,86,34,34,32
209331,"Left","RM","5'9","157lbs",78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,91,38,43,41
200145,"Right","CDM","6'1","185lbs",52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,84,88,90,87
198219,"Right","LW","5'4","130lbs",86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,83,51,24,22
197781,"Right","LW","5'9","174lbs",75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,86,60,64,51
